Path,Size
/pub2/CDIAC.ndp.ftp.pub2,0
/pub2/ndp026b/APR82L.DAT.Z,15842759
/pub2/ndp026b/APR82O.DAT.Z,1961551
/pub2/ndp026b/APR83L.DAT.Z,16338159
/pub2/ndp026b/APR83O.DAT.Z,1856831
/pub2/ndp026b/APR84L.DAT.Z,15415413
/pub2/ndp026b/APR84O.DAT.Z,2064027
/pub2/ndp026b/APR85L.DAT.Z,16816129
/pub2/ndp026b/APR85O.DAT.Z,1690218
/pub2/ndp026b/APR86L.DAT.Z,17124014
/pub2/ndp026b/APR86O.DAT.Z,1820635
/pub2/ndp026b/APR87L.DAT.Z,17165705
/pub2/ndp026b/APR87O.DAT.Z,1781844
/pub2/ndp026b/APR88L.DAT.Z,17262959
/pub2/ndp026b/APR88O.DAT.Z,1943570
/pub2/ndp026b/APR89L.DAT.Z,17062939
/pub2/ndp026b/APR89O.DAT.Z,1613901
/pub2/ndp026b/APR90L.DAT.Z,17274925
/pub2/ndp026b/APR90O.DAT.Z,1589933
/pub2/ndp026b/APR91L.DAT.Z,16521847
/pub2/ndp026b/APR91O.DAT.Z,1607011
/pub2/ndp026b/AUG82L.DAT.Z,16565485
/pub2/ndp026b/AUG82O.DAT.Z,1879823
/pub2/ndp026b/AUG83L.DAT.Z,16146063
/pub2/ndp026b/AUG83O.DAT.Z,2038579
/pub2/ndp026b/AUG84L.DAT.Z,17493251
/pub2/ndp026b/AUG84O.DAT.Z,1961001
/pub2/ndp026b/AUG85L.DAT.Z,17497738
/pub2/ndp026b/AUG85O.DAT.Z,1780186
/pub2/ndp026b/AUG86L.DAT.Z,17522917
/pub2/ndp026b/AUG86O.DAT.Z,1758987
/pub2/ndp026b/AUG87L.DAT.Z,17730354
/pub2/ndp026b/AUG87O.DAT.Z,1805946
/pub2/ndp026b/AUG88L.DAT.Z,17792733
/pub2/ndp026b/AUG88O.DAT.Z,1931507
/pub2/ndp026b/AUG89L.DAT.Z,17580824
/pub2/ndp026b/AUG89O.DAT.Z,1637422
/pub2/ndp026b/AUG90L.DAT.Z,17505934
/pub2/ndp026b/AUG90O.DAT.Z,1597149
/pub2/ndp026b/AUG91L.DAT.Z,16937209
/pub2/ndp026b/AUG91O.DAT.Z,1565895
/pub2/ndp026b/DEC81L.DAT.Z,18062171
/pub2/ndp026b/DEC81O.DAT.Z,2062334
/pub2/ndp026b/DEC82L.DAT.Z,16657951
/pub2/ndp026b/DEC82O.DAT.Z,1664674
/pub2/ndp026b/DEC83L.DAT.Z,17130501
/pub2/ndp026b/DEC83O.DAT.Z,1971479
/pub2/ndp026b/DEC84L.DAT.Z,16864752
/pub2/ndp026b/DEC84O.DAT.Z,1746463
/pub2/ndp026b/DEC85L.DAT.Z,17756057
/pub2/ndp026b/DEC85O.DAT.Z,1448593
/pub2/ndp026b/DEC86L.DAT.Z,17669727
/pub2/ndp026b/DEC86O.DAT.Z,1488407
/pub2/ndp026b/DEC87L.DAT.Z,17945728
/pub2/ndp026b/DEC87O.DAT.Z,1551193
/pub2/ndp026b/DEC88L.DAT.Z,17974081
/pub2/ndp026b/DEC88O.DAT.Z,1480923
/pub2/ndp026b/DEC89L.DAT.Z,17768905
/pub2/ndp026b/DEC89O.DAT.Z,1399701
/pub2/ndp026b/DEC90L.DAT.Z,17289233
/pub2/ndp026b/DEC90O.DAT.Z,1383477
/pub2/ndp026b/FEB82L.DAT.Z,14371336
/pub2/ndp026b/FEB82O.DAT.Z,1731803
/pub2/ndp026b/FEB83L.DAT.Z,14827668
/pub2/ndp026b/FEB83O.DAT.Z,1720675
/pub2/ndp026b/FEB84L.DAT.Z,16030929
/pub2/ndp026b/FEB84O.DAT.Z,1912000
/pub2/ndp026b/FEB85L.DAT.Z,15424939
/pub2/ndp026b/FEB85O.DAT.Z,1548303
/pub2/ndp026b/FEB86L.DAT.Z,15345905
/pub2/ndp026b/FEB86O.DAT.Z,1856117
/pub2/ndp026b/FEB87L.DAT.Z,15624477
/pub2/ndp026b/FEB87O.DAT.Z,1618041
/pub2/ndp026b/FEB88L.DAT.Z,16133075
/pub2/ndp026b/FEB88O.DAT.Z,1865015
/pub2/ndp026b/FEB89L.DAT.Z,15847248
/pub2/ndp026b/FEB89O.DAT.Z,1566264
/pub2/ndp026b/FEB90L.DAT.Z,15968541
/pub2/ndp026b/FEB90O.DAT.Z,1504247
/pub2/ndp026b/FEB91L.DAT.Z,15504743
/pub2/ndp026b/FEB91O.DAT.Z,1487485
/pub2/ndp026b/JAN82L.DAT.Z,14691085
/pub2/ndp026b/JAN82O.DAT.Z,1762301
/pub2/ndp026b/JAN83L.DAT.Z,16587999
/pub2/ndp026b/JAN83O.DAT.Z,1630473
/pub2/ndp026b/JAN84L.DAT.Z,16789495
/pub2/ndp026b/JAN84O.DAT.Z,1938345
/pub2/ndp026b/JAN85L.DAT.Z,16925265
/pub2/ndp026b/JAN85O.DAT.Z,1634075
/pub2/ndp026b/JAN86L.DAT.Z,17524321
/pub2/ndp026b/JAN86O.DAT.Z,1922067
/pub2/ndp026b/JAN87L.DAT.Z,17042947
/pub2/ndp026b/JAN87O.DAT.Z,1764766
/pub2/ndp026b/JAN88L.DAT.Z,17641151
/pub2/ndp026b/JAN88O.DAT.Z,1957255
